Question,Answer,Class
I missed the delivery of my order today. What should I do?,The courier service delivering your order usually tries to deliver on the next business day in case you miss a delivery. You can check your SMS for more details on when the courier service will try to deliver again.,order
Will the delivery be tried again if I'm not able to collect my order the first time?,Couriers make sure that the delivery is re-attempted the next working day if you can't collect your order the first time.,order
The delivery of my order is delayed. What should I do?,"On the rare occasion that your order is delayed, please check your email & messages for updates. A new delivery timeframe will be shared with you and you can also track its status by visiting My Orders.",order
What should I do if my order is approved but hasn't been shipped yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.,order
Can I take the shipment after opening and checking the contents inside?,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns.",order
How do I know my order has been confirmed?,An e-mail & SMS will be sent once you've successfully placed your order. We'll also let you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account.,order
"If I request for a replacement, when will I get it?","Visit My Orders to check the status of your replacement.<br>In most locations, the replacement item is delivered to you at the time of pick-up. In all other areas, the replacement is initiated after the originally delivered item is picked up. Please check the SMS & email we send you for your replacement request for more details.",cancellations and returns
Which products are not eligible for returns?,"Auto Accessories, Automobiles, Bath and Spa, Baby Care, Cleaning Products, Computer Accessories, Food and Nutrition, Fashion, Footwear Accessories, Gardening Products, Health Care, Home Products, Hygiene, Innerwear, Party Supplies, Festive Supplies, Personal Care, Pet Supplies, Sexual Wellness",cancellations and returns
Can items be returned after the time period mentioned in the seller's Returns Policy?,"No, sellers will not be able to accept returns after the time period mentioned in the seller's Returns Policy.",cancellations and returns
Do I have to return the freebie when I return a product?,"Yes, the freebie has to be returned along with the product.",cancellations and returns
How do returns work?,"You can raise a request to return your items with these simple steps: 1. Log into your account 2. Go to My Orders 3. Click on 'Return' against the item you wish to return or exchange 4. Fill in the details and raise a return request Once you raise a request, you'll get an email and SMS confirming that your request is being processed. Based on the item, your request may be automatically approved or you may be contacted for more details. If the request is approved, the item will be picked up after which you will get a replacement or refund. You can also track the status of your return request instantly from the 'My Orders' section of your Flipkart account.",cancellations and returns
I see the 'Cancel' button but I can't click on it. Why?,A greyed out and disabled 'Cancel' button can mean any one of the following: 1. The item has been delivered already Or 2. The item is non-refundable (e.g. Gift Card),cancellations and returns
What is credit card EMI payment option?,"With credit card EMI option, you can choose to pay in easy installments of 3, 6, 9, 12, 18, or 24 months, with credit cards from the several banks.",payment
How can I order for large quantities of the product as part of a corporate order?,You can write to corporatesales@website.com for your corporate gifting requirements.,payment
How can I label my saved cards?,You can specify a card label at the time of saving a card on website through the 'My Account' section. You can also add/edit the label anytime through 'My Saved Cards' in the 'My Account' section.,payment
What is a 'card label'?,"A card label is a name you give to your card while saving it on website. This helps in identifying the card at the time of making a payment. Even if you don't specify a card label, you can still identify the card by the first 2 and last 4 digits of the card number which are visible to you when the saved card is shown.",payment
What is the 'Save Card' feature?,The 'Save Card' option lets you save your credit/debit cards on your website account. This helps you complete your transactions in a quick and easy way.,payment
How do they prevent card fraud?,"Online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card. When we're not able to rule fraud out in rare cases, the transaction is kept on hold and we ask the shopper to share relevant proofs. This is done to make sure that the transaction is genuine and authorised.",payment
I did not get an OTP while paying through the 'Credit Card No Cost EMI' payment mode. What should I do?,Please contact your card issuing bank for OTP support.,payment
Is 'Credit Card No Cost EMI' payment mode available on Flipkart’s website and mobile app?,"Yes, ‘Credit Card No Cost EMI' payment mode is available on our website, mobile app, and our mobile site",payment
What are the benefits of the 'Credit Card No Cost EMI' payment mode?,Shopping with ‘Credit Card No Cost EMI’ has benefits like no cost of interest & zero down payment as you get an instant cash-back from the seller for the amount you are charged as interest by the bank.,payment
How can I foreclose my EMI for an item I bought using the 'Credit Card No Cost EMI'?,You will need to contact the card issuing bank to foreclose your EMI.,payment
Can I cancel an order placed using the 'Credit Card No Cost EMI' payment option?,"Yes, you can cancel the order irrespective of the payment mode used for it. However, orders for certain items cannot be cancelled after 24 hours of order placement. Please check the seller's cancellation policy on the product page for details.",payment
Can I foreclose my EMIs for products purchased using the 'Credit Card No Cost EMI' payment mode?,"Yes, you can foreclose your EMIs if you've paid for your order using 'Credit Card No Cost EMI' payment mode. Please contact the card-issuing bank for foreclosure of your EMI.",payment
How can I deactivate my account?,"To deactivate your Flipkart account,follow these simple steps: 1. Log into your Flipkart account 2. Go to My Account > Settings > Deactivate 3. Enter the password for your account 4. Choose 'Confirm Deactivation'",account
How do I know my order has been confirmed?,"Once your order has been logged and payment authorization has been received,the seller confirms receipt of the order and begins processing it. You will receive an email containing the details of your order when the seller receives it and confirms the same. In this mail you will be provided with a unique Order ID (eg. OD01202130213),a listing of the item(s) you have ordered and the expected delivery time.<br>You will also be notified when the seller ships the item(s) to you. Shipping details will be provided with the respective tracking number(s).",payment
I chose the wrong EMI plan while making the payment using 'Credit Card No Cost EMI' option. Can I change it now?,"No. However,in case your order hasn't been delivered yet,you can cancel it and place a new order by selecting your preferred EMI plan. Orders for certain items cannot be cancelled after 24 hours of order placement. Please check the seller's cancellation policy on the product page for details.",payment
Do I need to install the PhonePe app to use the wallet option on my Flipkart account?,"No,you will be able to use the wallet option on your Flipkart account for payments without installing the PhonePe app. You can choose to install the PhonePe app to access other payment features.",payment
"My payment using the 'Credit Card No Cost EMI' payment mode did not go through,but the amount has been blocked on my card. What should I do?","In case the amount was deducted from your card,but the payment was unsuccessful,the blocked card limit will be reinstated by the bank within 5-7 business days. Please get in touch with your card issuing bank if the amount is not credited within this time period.",payment
